INDIC_SB,GEO,SIZEN,time,N_ENTERPRISE
V11110,AT,10_C10_12,2005,1028.0
V11110,AT,10_C10_12,2006,1020.0
V11110,AT,10_C10_12,2007,1061.0
V11110,AT,10_C10_12,2008,1030.0
V11110,AT,10_C10_12,2009,1033.0
V11110,AT,10_C10_12,2010,1021.0
V11110,AT,10_C10_12,2011,996.0
V11110,AT,10_C10_12,2012,968.0
V11110,AT,10_C10_12,2013,955.0
V11110,AT,10_C10_12,2014,972.0
V11110,AT,10_C10_12,2015,968.0
V11110,AT,10_C10_12,2016,973.0
V11110,AT,10_C10_12,2017,973.0
V11110,AT,10_C10_12,2018,960.0
V11110,AT,10_C10_12,2019,953.0
V11110,BA,10_C10_12,2011,216.0
V11110,BA,10_C10_12,2012,199.0
V11110,BA,10_C10_12,2013,193.0
V11110,BA,10_C10_12,2014,282.0
V11110,BA,10_C10_12,2015,278.0
V11110,BA,10_C10_12,2016,296.0
V11110,BA,10_C10_12,2017,300.0
V11110,BA,10_C10_12,2018,305.0
V11110,BA,10_C10_12,2019,296.0
V11110,BE,10_C10_12,2005,326.0
V11110,BE,10_C10_12,2006,1023.0
V11110,BE,10_C10_12,2007,353.0
V11110,BE,10_C10_12,2008,990.0
V11110,BE,10_C10_12,2009,1028.0
V11110,BE,10_C10_12,2010,913.0
V11110,BE,10_C10_12,2011,942.0
V11110,BE,10_C10_12,2012,896.0
V11110,BE,10_C10_12,2013,932.0
V11110,BE,10_C10_12,2014,854.0
V11110,BE,10_C10_12,2015,902.0
V11110,BE,10_C10_12,2016,873.0
V11110,BE,10_C10_12,2017,931.0
V11110,BE,10_C10_12,2018,727.0
V11110,BE,10_C10_12,2019,779.0
V11110,BG,10_C10_12,2005,1268.0
V11110,BG,10_C10_12,2006,1209.0
V11110,BG,10_C10_12,2007,1215.0
V11110,BG,10_C10_12,2008,1154.0
V11110,BG,10_C10_12,2009,1197.0
V11110,BG,10_C10_12,2010,1147.0
V11110,BG,10_C10_12,2011,1127.0
V11110,BG,10_C10_12,2012,1096.0
V11110,BG,10_C10_12,2013,1049.0
V11110,BG,10_C10_12,2014,1081.0
V11110,BG,10_C10_12,2015,1123.0
V11110,BG,10_C10_12,2016,1078.0
V11110,BG,10_C10_12,2017,1064.0
V11110,BG,10_C10_12,2018,1014.0
V11110,BG,10_C10_12,2019,1032.0
V11110,CH,10_C10_12,2009,494.0
V11110,CH,10_C10_12,2010,506.0
V11110,CH,10_C10_12,2011,496.0
V11110,CH,10_C10_12,2012,482.0
V11110,CH,10_C10_12,2013,1029.0
V11110,CH,10_C10_12,2014,1095.0
V11110,CH,10_C10_12,2015,1068.0
V11110,CH,10_C10_12,2016,1069.0
V11110,CH,10_C10_12,2017,1081.0
V11110,CH,10_C10_12,2018,1074.0
V11110,CH,10_C10_12,2019,1053.0
V11110,CY,10_C10_12,2005,0.0
V11110,CY,10_C10_12,2007,144.0
V11110,CY,10_C10_12,2008,145.0
V11110,CY,10_C10_12,2009,152.0
V11110,CY,10_C10_12,2010,148.0
V11110,CY,10_C10_12,2011,159.0
V11110,CY,10_C10_12,2012,147.0
V11110,CY,10_C10_12,2013,43.0
V11110,CY,10_C10_12,2014,130.0
V11110,CY,10_C10_12,2015,136.0
V11110,CY,10_C10_12,2016,141.0
V11110,CY,10_C10_12,2017,148.0
V11110,CY,10_C10_12,2018,150.0
V11110,CY,10_C10_12,2019,138.0
V11110,CZ,10_C10_12,2005,1096.0
V11110,CZ,10_C10_12,2006,1166.0
V11110,CZ,10_C10_12,2007,1105.0
V11110,CZ,10_C10_12,2008,1118.0
V11110,CZ,10_C10_12,2009,1083.0
V11110,CZ,10_C10_12,2010,1047.0
V11110,CZ,10_C10_12,2011,1024.0
V11110,CZ,10_C10_12,2012,1001.0
V11110,CZ,10_C10_12,2013,966.0
V11110,CZ,10_C10_12,2014,960.0
V11110,CZ,10_C10_12,2015,989.0
V11110,CZ,10_C10_12,2016,960.0
V11110,CZ,10_C10_12,2017,974.0
V11110,CZ,10_C10_12,2018,1024.0
V11110,CZ,10_C10_12,2019,1030.0
V11110,DE,10_C10_12,2005,14317.0
V11110,DE,10_C10_12,2006,2486.0
V11110,DE,10_C10_12,2007,11762.0
V11110,DE,10_C10_12,2008,11254.0
V11110,DE,10_C10_12,2009,9160.0
V11110,DE,10_C10_12,2010,12445.0
V11110,DE,10_C10_12,2011,12902.0
V11110,DE,10_C10_12,2012,12373.0
V11110,DE,10_C10_12,2013,11807.0
V11110,DE,10_C10_12,2014,8551.0
V11110,DE,10_C10_12,2015,10302.0
V11110,DE,10_C10_12,2016,11234.0
V11110,DE,10_C10_12,2017,8848.0
V11110,DE,10_C10_12,2018,10760.0
V11110,DE,10_C10_12,2019,9890.0
V11110,DK,10_C10_12,2005,577.0
V11110,DK,10_C10_12,2006,570.0
V11110,DK,10_C10_12,2007,567.0
V11110,DK,10_C10_12,2008,553.0
V11110,DK,10_C10_12,2009,482.0
V11110,DK,10_C10_12,2010,476.0
V11110,DK,10_C10_12,2011,544.0
V11110,DK,10_C10_12,2012,534.0
V11110,DK,10_C10_12,2013,500.0
V11110,DK,10_C10_12,2014,500.0
V11110,DK,10_C10_12,2015,487.0
V11110,DK,10_C10_12,2016,413.0
V11110,DK,10_C10_12,2017,414.0
V11110,DK,10_C10_12,2018,427.0
V11110,DK,10_C10_12,2019,405.0
V11110,EE,10_C10_12,2005,162.0
V11110,EE,10_C10_12,2006,159.0
V11110,EE,10_C10_12,2007,151.0
V11110,EE,10_C10_12,2008,148.0
V11110,EE,10_C10_12,2009,129.0
V11110,EE,10_C10_12,2010,123.0
V11110,EE,10_C10_12,2011,126.0
V11110,EE,10_C10_12,2012,136.0
V11110,EE,10_C10_12,2013,138.0
V11110,EE,10_C10_12,2014,135.0
V11110,EE,10_C10_12,2015,142.0
V11110,EE,10_C10_12,2016,146.0
V11110,EE,10_C10_12,2017,148.0
V11110,EE,10_C10_12,2018,153.0
V11110,EE,10_C10_12,2019,139.0
V11110,EL,10_C10_12,2008,542.0
V11110,EL,10_C10_12,2009,595.0
V11110,EL,10_C10_12,2010,607.0
V11110,EL,10_C10_12,2011,592.0
V11110,EL,10_C10_12,2012,618.0
V11110,EL,10_C10_12,2013,494.0
V11110,EL,10_C10_12,2014,1148.0
V11110,EL,10_C10_12,2015,1096.0
V11110,EL,10_C10_12,2016,1183.0
V11110,EL,10_C10_12,2017,1279.0
V11110,EL,10_C10_12,2018,1375.0
V11110,EL,10_C10_12,2019,1497.0
V11110,ES,10_C10_12,2005,4479.0
V11110,ES,10_C10_12,2006,3375.0
V11110,ES,10_C10_12,2007,3148.0
V11110,ES,10_C10_12,2008,4136.0
V11110,ES,10_C10_12,2009,4113.0
V11110,ES,10_C10_12,2010,4014.0
V11110,ES,10_C10_12,2011,3995.0
V11110,ES,10_C10_12,2012,3963.0
V11110,ES,10_C10_12,2013,3731.0
V11110,ES,10_C10_12,2014,3470.0
V11110,ES,10_C10_12,2015,3576.0
V11110,ES,10_C10_12,2016,3926.0
V11110,ES,10_C10_12,2017,3996.0
V11110,ES,10_C10_12,2018,3938.0
V11110,ES,10_C10_12,2019,4220.0
V11110,EU27_2007,10_C10_12,2005,45464.0
V11110,EU27_2007,10_C10_12,2006,45154.0
V11110,EU27_2007,10_C10_12,2007,44770.0
V11110,EU27_2007,10_C10_12,2008,41405.0
V11110,EU27_2007,10_C10_12,2009,39318.0
V11110,EU27_2007,10_C10_12,2010,44062.0
V11110,EU27_2020,10_C10_12,2011,40895.0
V11110,EU27_2020,10_C10_12,2012,41454.0
V11110,EU27_2020,10_C10_12,2013,39020.0
V11110,EU27_2020,10_C10_12,2014,35580.0
V11110,EU27_2020,10_C10_12,2015,38003.0
V11110,EU27_2020,10_C10_12,2016,40421.0
V11110,EU27_2020,10_C10_12,2017,37100.0
V11110,EU27_2020,10_C10_12,2018,30582.0
V11110,EU27_2020,10_C10_12,2019,42824.0
V11110,EU28,10_C10_12,2011,44983.0
V11110,EU28,10_C10_12,2012,45369.0
V11110,EU28,10_C10_12,2013,44161.0
V11110,EU28,10_C10_12,2014,40687.0
V11110,EU28,10_C10_12,2015,43214.0
V11110,EU28,10_C10_12,2016,44867.0
V11110,EU28,10_C10_12,2017,41934.0
V11110,EU28,10_C10_12,2018,32346.0
V11110,EU_V,10_C10_12,2008,38827.0
V11110,FI,10_C10_12,2006,246.0
V11110,FI,10_C10_12,2007,274.0
V11110,FI,10_C10_12,2008,274.0
V11110,FI,10_C10_12,2009,267.0
V11110,FI,10_C10_12,2010,271.0
V11110,FI,10_C10_12,2011,282.0
V11110,FI,10_C10_12,2012,269.0
V11110,FI,10_C10_12,2013,250.0
V11110,FI,10_C10_12,2014,294.0
V11110,FI,10_C10_12,2015,284.0
V11110,FI,10_C10_12,2016,296.0
V11110,FI,10_C10_12,2017,256.0
V11110,FI,10_C10_12,2018,263.0
V11110,FI,10_C10_12,2019,283.0
V11110,FR,10_C10_12,2005,5278.0
V11110,FR,10_C10_12,2006,5445.0
V11110,FR,10_C10_12,2007,5414.0
V11110,FR,10_C10_12,2009,4595.0
V11110,FR,10_C10_12,2010,4122.0
V11110,FR,10_C10_12,2011,3562.0
V11110,FR,10_C10_12,2012,4917.0
V11110,FR,10_C10_12,2013,4912.0
V11110,FR,10_C10_12,2014,4826.0
V11110,FR,10_C10_12,2015,5124.0
V11110,FR,10_C10_12,2016,5212.0
V11110,FR,10_C10_12,2017,4417.0
V11110,FR,10_C10_12,2018,212.0
V11110,FR,10_C10_12,2019,5677.0
V11110,HR,10_C10_12,2008,589.0
V11110,HR,10_C10_12,2009,604.0
V11110,HR,10_C10_12,2010,648.0
V11110,HR,10_C10_12,2011,629.0
V11110,HR,10_C10_12,2012,634.0
V11110,HR,10_C10_12,2013,598.0
V11110,HR,10_C10_12,2014,584.0
V11110,HR,10_C10_12,2015,576.0
V11110,HR,10_C10_12,2016,578.0
V11110,HR,10_C10_12,2017,582.0
V11110,HR,10_C10_12,2018,534.0
V11110,HR,10_C10_12,2019,569.0
V11110,HU,10_C10_12,2005,937.0
V11110,HU,10_C10_12,2006,918.0
V11110,HU,10_C10_12,2007,895.0
V11110,HU,10_C10_12,2008,1097.0
V11110,HU,10_C10_12,2009,1028.0
V11110,HU,10_C10_12,2010,1093.0
V11110,HU,10_C10_12,2011,1077.0
V11110,HU,10_C10_12,2012,1058.0
V11110,HU,10_C10_12,2013,1031.0
V11110,HU,10_C10_12,2014,1065.0
V11110,HU,10_C10_12,2015,1077.0
V11110,HU,10_C10_12,2016,1063.0
V11110,HU,10_C10_12,2017,1030.0
V11110,HU,10_C10_12,2018,1014.0
V11110,HU,10_C10_12,2019,1016.0
V11110,IE,10_C10_12,2005,106.0
V11110,IE,10_C10_12,2006,94.0
V11110,IE,10_C10_12,2007,20.0
V11110,IE,10_C10_12,2008,276.0
V11110,IE,10_C10_12,2009,289.0
V11110,IE,10_C10_12,2010,276.0
V11110,IE,10_C10_12,2011,277.0
V11110,IE,10_C10_12,2012,277.0
V11110,IE,10_C10_12,2013,270.0
V11110,IE,10_C10_12,2014,281.0
V11110,IE,10_C10_12,2015,297.0
V11110,IE,10_C10_12,2016,299.0
V11110,IE,10_C10_12,2017,311.0
V11110,IE,10_C10_12,2019,317.0
V11110,IS,10_C10_12,2015,107.0
V11110,IS,10_C10_12,2016,118.0
V11110,IS,10_C10_12,2017,120.0
V11110,IS,10_C10_12,2018,117.0
V11110,IS,10_C10_12,2019,106.0
V11110,IT,10_C10_12,2005,408.0
V11110,IT,10_C10_12,2006,427.0
V11110,IT,10_C10_12,2007,443.0
V11110,IT,10_C10_12,2008,5398.0
V11110,IT,10_C10_12,2009,5324.0
V11110,IT,10_C10_12,2010,5393.0
V11110,IT,10_C10_12,2011,5521.0
V11110,IT,10_C10_12,2012,5497.0
V11110,IT,10_C10_12,2013,5414.0
V11110,IT,10_C10_12,2014,5368.0
V11110,IT,10_C10_12,2015,5503.0
V11110,IT,10_C10_12,2016,5722.0
V11110,IT,10_C10_12,2017,5703.0
V11110,IT,10_C10_12,2018,5845.0
V11110,IT,10_C10_12,2019,5859.0
V11110,LT,10_C10_12,2005,377.0
V11110,LT,10_C10_12,2006,378.0
V11110,LT,10_C10_12,2007,369.0
V11110,LT,10_C10_12,2008,348.0
